unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1651644000,2022-05-04 06:00:00,BTC/USDT,38223.77,38383.13,38223.77,38383.13,1.07946777,41433.351746720095
1651640400,2022-05-04 05:00:00,BTC/USDT,38068.61,38068.61,38068.61,38068.61,0.00000000,0.0
1651636800,2022-05-04 04:00:00,BTC/USDT,38053.38,38068.61,38053.38,38068.61,0.07896093,3005.9328494073
1651633200,2022-05-04 03:00:00,BTC/USDT,38038.34,38047.38,38038.34,38047.38,0.03668850,1395.9013011299999
1651629600,2022-05-04 02:00:00,BTC/USDT,37968.27,37968.27,37968.27,37968.27,0.00000000,0.0
1651626000,2022-05-04 01:00:00,BTC/USDT,37968.27,37968.27,37968.27,37968.27,0.31136671,11822.055314291698
1651622400,2022-05-04 00:00:00,BTC/USDT,37733.21,37755.57,37733.21,37755.57,0.02643731,998.1557083166999
1651618800,2022-05-03 23:00:00,BTC/USDT,37856.61,37856.61,37856.61,37856.61,0.00000000,0.0
1651615200,2022-05-03 22:00:00,BTC/USDT,37816.84,37856.61,37816.84,37856.61,0.07973283,3018.4146495063
1651611600,2022-05-03 21:00:00,BTC/USDT,37662.80,37844.16,37662.80,37844.16,0.06656357,2519.0423932512003
1651608000,2022-05-03 20:00:00,BTC/USDT,37623.82,37820.60,37616.34,37801.44,0.51243828,19370.904895123203
1651604400,2022-05-03 19:00:00,BTC/USDT,37688.33,37752.45,37582.70,37726.18,0.36983589,13952.4953566002
1651600800,2022-05-03 18:00:00,BTC/USDT,38019.91,38019.91,37577.78,37721.36,3.03785971,114592.1997504056
1651597200,2022-05-03 17:00:00,BTC/USDT,38213.13,38213.13,38213.13,38213.13,0.00000000,0.0
1651593600,2022-05-03 16:00:00,BTC/USDT,38309.30,38309.30,38073.82,38213.13,1.15353988,44080.3693946244
1651590000,2022-05-03 15:00:00,BTC/USDT,38212.56,38393.30,38204.42,38393.30,0.57739270,22168.01114891
1651586400,2022-05-03 14:00:00,BTC/USDT,38411.63,38411.63,38228.62,38284.03,0.29922413,11455.5055696439
1651582800,2022-05-03 13:00:00,BTC/USDT,38342.81,38393.35,38190.97,38393.35,0.61279432,23527.226805772
1651579200,2022-05-03 12:00:00,BTC/USDT,38507.79,38507.79,38507.79,38507.79,0.00000000,0.0
1651575600,2022-05-03 11:00:00,BTC/USDT,38431.57,38507.79,38310.59,38507.79,0.40370101,15545.633715867902
1651572000,2022-05-03 10:00:00,BTC/USDT,38465.19,38465.19,38465.19,38465.19,0.00000000,0.0
1651568400,2022-05-03 09:00:00,BTC/USDT,38465.19,38465.19,38465.19,38465.19,0.00128947,49.599708549300004
1651564800,2022-05-03 08:00:00,BTC/USDT,38443.16,38443.16,38443.16,38443.16,0.00000000,0.0
1651561200,2022-05-03 07:00:00,BTC/USDT,38443.16,38443.16,38443.16,38443.16,0.00000000,0.0
1651557600,2022-05-03 06:00:00,BTC/USDT,38443.16,38443.16,38443.16,38443.16,0.00000000,0.0
1651554000,2022-05-03 05:00:00,BTC/USDT,38437.65,38443.16,38433.24,38443.16,0.17000537,6535.5436397692
1651550400,2022-05-03 04:00:00,BTC/USDT,38559.88,38559.88,38559.88,38559.88,0.00000000,0.0
1651546800,2022-05-03 03:00:00,BTC/USDT,38453.18,38559.88,38453.18,38559.88,0.61936258,23882.5467612904
1651543200,2022-05-03 02:00:00,BTC/USDT,38503.37,38503.37,38503.37,38503.37,0.00000000,0.0
1651539600,2022-05-03 01:00:00,BTC/USDT,38503.37,38503.37,38503.37,38503.37,0.00000000,0.0
1651536000,2022-05-03 00:00:00,BTC/USDT,38503.37,38503.37,38503.37,38503.37,0.00000000,0.0
1651532400,2022-05-02 23:00:00,BTC/USDT,38503.37,38503.37,38503.37,38503.37,0.39000000,15016.314300000002
1651528800,2022-05-02 22:00:00,BTC/USDT,38796.54,38796.54,38796.54,38796.54,0.05415690,2101.100337126
1651525200,2022-05-02 21:00:00,BTC/USDT,38471.31,38683.10,38471.31,38683.10,0.08704887,3367.320143097
1651521600,2022-05-02 20:00:00,BTC/USDT,38417.90,38417.90,38417.90,38417.90,0.01577389,605.9997286309999
1651518000,2022-05-02 19:00:00,BTC/USDT,38474.25,38477.87,38367.46,38437.71,0.75645218,29076.2895237078
1651514400,2022-05-02 18:00:00,BTC/USDT,38151.65,38151.65,38094.85,38094.85,0.44072452,16789.334480722
1651510800,2022-05-02 17:00:00,BTC/USDT,38434.82,38512.77,38434.82,38503.80,0.28811249,11093.425692462
1651507200,2022-05-02 16:00:00,BTC/USDT,38677.44,38767.97,38677.44,38712.17,0.26977573,10443.6039216341
1651503600,2022-05-02 15:00:00,BTC/USDT,38743.05,38773.54,38743.05,38773.54,0.14773641,5728.263602591401
1651500000,2022-05-02 14:00:00,BTC/USDT,38858.29,38858.29,38858.29,38858.29,0.00000000,0.0
1651496400,2022-05-02 13:00:00,BTC/USDT,38687.27,38899.67,38250.00,38858.29,1.32860038,51627.1388601502
1651492800,2022-05-02 12:00:00,BTC/USDT,38652.26,38652.26,38652.26,38652.26,0.00000000,0.0
1651489200,2022-05-02 11:00:00,BTC/USDT,38644.34,38652.26,38644.34,38652.26,0.02362292,913.0792457992
1651485600,2022-05-02 10:00:00,BTC/USDT,38784.80,38784.80,38709.99,38742.09,0.09845351,3814.2947452358994
1651482000,2022-05-02 09:00:00,BTC/USDT,38994.90,38994.90,38835.00,38835.00,0.03784468,1469.6981478
1651478400,2022-05-02 08:00:00,BTC/USDT,38837.47,38851.17,38837.47,38851.17,0.10287287,3996.7313607579
1651474800,2022-05-02 07:00:00,BTC/USDT,39000.28,39003.39,38977.71,38977.71,0.01409879,549.5385479709
1651471200,2022-05-02 06:00:00,BTC/USDT,38912.84,38912.84,38912.84,38912.84,0.00000000,0.0
1651467600,2022-05-02 05:00:00,BTC/USDT,38871.48,38912.84,38871.48,38912.84,0.03930161,1529.3372616723998
1651464000,2022-05-02 04:00:00,BTC/USDT,38733.72,39075.32,38733.72,39046.40,0.55750810,21768.684275839998
1651460400,2022-05-02 03:00:00,BTC/USDT,38544.60,38544.60,38544.60,38544.60,0.00000000,0.0
1651456800,2022-05-02 02:00:00,BTC/USDT,38483.35,38544.60,38483.35,38544.60,0.45423844,17508.438974424
1651453200,2022-05-02 01:00:00,BTC/USDT,38782.63,38782.63,38782.63,38782.63,0.00000000,0.0
1651449600,2022-05-02 00:00:00,BTC/USDT,38594.68,38795.22,38594.68,38782.63,1.64582354,63829.365397110196
1651446000,2022-05-01 23:00:00,BTC/USDT,38492.48,38492.48,38487.66,38487.66,0.01327464,510.90983094240005
1651442400,2022-05-01 22:00:00,BTC/USDT,38500.00,38537.64,38354.57,38376.21,0.23701329,9095.6717898309
1651438800,2022-05-01 21:00:00,BTC/USDT,38183.60,38343.40,38183.60,38343.40,0.67306918,25807.760796412003
1651435200,2022-05-01 20:00:00,BTC/USDT,37836.46,38124.55,37836.46,38124.55,0.39715563,15141.379673716501
1651431600,2022-05-01 19:00:00,BTC/USDT,37817.45,37838.82,37750.00,37773.76,0.02810560,1061.6541890560002
1651428000,2022-05-01 18:00:00,BTC/USDT,38340.28,38340.28,37935.29,37977.93,0.25600613,9722.5828847109
1651424400,2022-05-01 17:00:00,BTC/USDT,38411.69,38532.61,38411.69,38532.61,0.40666826,15669.989461958601
1651420800,2022-05-01 16:00:00,BTC/USDT,38563.63,38604.39,38563.63,38604.39,0.11476285,4430.3498189115
1651417200,2022-05-01 15:00:00,BTC/USDT,38021.23,38562.74,38021.23,38562.74,0.30018775,11576.062154434998
1651413600,2022-05-01 14:00:00,BTC/USDT,37952.11,37952.11,37952.11,37952.11,0.00000000,0.0
1651410000,2022-05-01 13:00:00,BTC/USDT,37952.11,37952.11,37952.11,37952.11,0.02650000,1005.730915
1651406400,2022-05-01 12:00:00,BTC/USDT,37937.58,37956.69,37937.58,37956.69,0.18020000,6839.795538
1651402800,2022-05-01 11:00:00,BTC/USDT,38047.02,38047.02,38047.02,38047.02,0.00000000,0.0
1651399200,2022-05-01 10:00:00,BTC/USDT,38047.02,38047.02,38047.02,38047.02,0.00784555,298.49979776099997
1651395600,2022-05-01 09:00:00,BTC/USDT,38050.40,38050.40,38050.40,38050.40,0.00000000,0.0
1651392000,2022-05-01 08:00:00,BTC/USDT,38050.40,38050.40,38050.40,38050.40,0.12500000,4756.3
1651388400,2022-05-01 07:00:00,BTC/USDT,38095.40,38095.40,38095.40,38095.40,0.00000000,0.0
1651384800,2022-05-01 06:00:00,BTC/USDT,38095.40,38095.40,38095.40,38095.40,0.19555431,7449.719661174001
1651381200,2022-05-01 05:00:00,BTC/USDT,38017.31,38114.33,38017.31,38095.40,0.03939598,1500.805616492
1651377600,2022-05-01 04:00:00,BTC/USDT,38030.29,38030.29,37894.94,37930.62,0.21063332,7989.452420258401
1651374000,2022-05-01 03:00:00,BTC/USDT,37974.71,37986.95,37974.71,37986.95,0.16877434,6411.222414862999
1651370400,2022-05-01 02:00:00,BTC/USDT,37899.17,37899.17,37886.32,37886.32,1.00094296,37922.0452843072
1651366800,2022-05-01 01:00:00,BTC/USDT,37485.95,37685.36,37485.95,37639.98,0.33145565,12475.984036887001
1651363200,2022-05-01 00:00:00,BTC/USDT,37500.00,37688.36,37500.00,37688.36,0.14085242,5308.496711831201
1651359600,2022-04-30 23:00:00,BTC/USDT,38148.34,38148.34,37585.13,37689.39,2.92797891,110353.73905076491
1651356000,2022-04-30 22:00:00,BTC/USDT,38252.40,38284.35,38252.40,38284.35,0.21503695,8232.5498567325
1651352400,2022-04-30 21:00:00,BTC/USDT,38350.72,38350.76,38350.72,38350.76,0.01563268,599.5251588368
1651348800,2022-04-30 20:00:00,BTC/USDT,38451.72,38451.72,38451.72,38451.72,0.00000000,0.0
1651345200,2022-04-30 19:00:00,BTC/USDT,38348.83,38451.72,38348.83,38451.72,0.04064494,1562.8678522968
1651341600,2022-04-30 18:00:00,BTC/USDT,38266.52,38266.52,38266.52,38266.52,0.00000000,0.0
1651338000,2022-04-30 17:00:00,BTC/USDT,38399.13,38399.13,38266.52,38266.52,0.48444056,18537.8543780512
1651334400,2022-04-30 16:00:00,BTC/USDT,38307.94,38307.94,38307.94,38307.94,0.00000000,0.0
1651330800,2022-04-30 15:00:00,BTC/USDT,38221.63,38423.76,38217.43,38307.94,0.79681815,30524.461881111
1651327200,2022-04-30 14:00:00,BTC/USDT,38512.15,38536.20,38361.54,38399.37,1.25104158,48039.20851580461
1651323600,2022-04-30 13:00:00,BTC/USDT,38582.28,38582.28,38566.84,38566.84,0.07921547,3055.0903570148
1651320000,2022-04-30 12:00:00,BTC/USDT,38658.59,38658.59,38658.59,38658.59,0.00000000,0.0
1651316400,2022-04-30 11:00:00,BTC/USDT,38658.59,38658.59,38658.59,38658.59,0.00000000,0.0
1651312800,2022-04-30 10:00:00,BTC/USDT,38658.59,38658.59,38658.59,38658.59,0.00000000,0.0
1651309200,2022-04-30 09:00:00,BTC/USDT,38658.59,38658.59,38658.59,38658.59,0.00000000,0.0
1651305600,2022-04-30 08:00:00,BTC/USDT,38612.32,38658.59,38612.32,38658.59,0.13760080,5319.452910871999
1651302000,2022-04-30 07:00:00,BTC/USDT,38688.40,38688.40,38652.98,38652.98,0.01683075,650.558643135
1651298400,2022-04-30 06:00:00,BTC/USDT,38593.37,38593.37,38593.37,38593.37,0.00000000,0.0
1651294800,2022-04-30 05:00:00,BTC/USDT,38593.37,38593.37,38593.37,38593.37,0.00000000,0.0
1651291200,2022-04-30 04:00:00,BTC/USDT,38593.37,38593.37,38593.37,38593.37,0.00000000,0.0
1651287600,2022-04-30 03:00:00,BTC/USDT,38593.37,38593.37,38593.37,38593.37,0.00000000,0.0
1651284000,2022-04-30 02:00:00,BTC/USDT,38593.37,38593.37,38593.37,38593.37,0.00000000,0.0
1651280400,2022-04-30 01:00:00,BTC/USDT,38593.37,38593.37,38593.37,38593.37,0.00000000,0.0
1651276800,2022-04-30 00:00:00,BTC/USDT,38627.29,38627.29,38593.37,38593.37,0.01938486,748.1270743782001
1651273200,2022-04-29 23:00:00,BTC/USDT,38567.68,38567.68,38567.68,38567.68,0.00000000,0.0
1651269600,2022-04-29 22:00:00,BTC/USDT,38567.68,38567.68,38567.68,38567.68,0.00128994,49.7499931392
1651266000,2022-04-29 21:00:00,BTC/USDT,38500.00,38500.00,38500.00,38500.00,3.00000000,115500.0
1651262400,2022-04-29 20:00:00,BTC/USDT,38538.48,38590.00,38538.46,38590.00,1.45803779,56265.6783161
1651258800,2022-04-29 19:00:00,BTC/USDT,38484.52,38484.52,38207.07,38299.21,0.70343617,26941.0495964257
1651255200,2022-04-29 18:00:00,BTC/USDT,38580.41,38589.65,38480.73,38490.39,0.71101342,27367.1838310338
1651251600,2022-04-29 17:00:00,BTC/USDT,38595.96,38637.57,38564.90,38632.94,0.42408513,16383.6553821822
1651248000,2022-04-29 16:00:00,BTC/USDT,38932.31,38955.81,38500.00,38563.52,0.63150855,24353.192598095997
1651244400,2022-04-29 15:00:00,BTC/USDT,39056.89,39102.36,38960.01,39007.08,0.89334147,34846.6421876076
1651240800,2022-04-29 14:00:00,BTC/USDT,39051.63,39061.38,39040.26,39061.38,0.17759910,6937.2659327579995
1651237200,2022-04-29 13:00:00,BTC/USDT,39016.12,39366.67,39005.14,39289.17,2.91079500,114362.71959014998
1651233600,2022-04-29 12:00:00,BTC/USDT,39069.45,39123.32,38947.39,38969.13,0.48254700,18804.43677411
1651230000,2022-04-29 11:00:00,BTC/USDT,38786.77,38786.77,38643.03,38732.69,0.51466487,19934.354863600303
1651226400,2022-04-29 10:00:00,BTC/USDT,39000.00,39000.00,38706.82,38812.42,0.49151807,19077.005770429398
1651222800,2022-04-29 09:00:00,BTC/USDT,39325.17,39365.42,39183.94,39263.99,0.40296059,15821.8405761541
1651219200,2022-04-29 08:00:00,BTC/USDT,39444.11,39444.11,39444.11,39444.11,0.00771586,304.3452305846
1651215600,2022-04-29 07:00:00,BTC/USDT,39420.87,39470.77,39385.90,39426.89,1.92999668,76093.7668027252
1651212000,2022-04-29 06:00:00,BTC/USDT,39561.29,39561.29,39561.29,39561.29,0.00000000,0.0
1651208400,2022-04-29 05:00:00,BTC/USDT,39597.30,39597.30,39561.29,39561.29,0.08821409,3489.8631965760997
1651204800,2022-04-29 04:00:00,BTC/USDT,39507.21,39507.21,39453.23,39453.23,0.07695861,3036.2657408103
1651201200,2022-04-29 03:00:00,BTC/USDT,39518.97,39518.97,39325.09,39418.65,7.27491954,286767.507125421
1651197600,2022-04-29 02:00:00,BTC/USDT,39658.00,39708.08,39500.00,39578.46,4.11759183,162967.94353998182
1651194000,2022-04-29 01:00:00,BTC/USDT,39730.00,39730.00,39730.00,39730.00,0.00000000,0.0
1651190400,2022-04-29 00:00:00,BTC/USDT,39730.00,39730.00,39730.00,39730.00,0.00000000,0.0
1651186800,2022-04-28 23:00:00,BTC/USDT,39762.00,39762.00,39730.00,39730.00,1.03973584,41308.704923200006
1651183200,2022-04-28 22:00:00,BTC/USDT,39819.74,39819.74,39700.00,39769.52,1.10331080,43878.140926816
1651179600,2022-04-28 21:00:00,BTC/USDT,39936.01,39936.01,39936.01,39936.01,0.00000000,0.0
1651176000,2022-04-28 20:00:00,BTC/USDT,39840.69,40191.00,39736.89,39936.01,0.23792787,9501.889795598701
1651172400,2022-04-28 19:00:00,BTC/USDT,40244.52,40250.39,40244.52,40250.39,0.15976912,6430.769389956799
1651168800,2022-04-28 18:00:00,BTC/USDT,40162.52,40162.52,40143.39,40143.39,0.48287123,19384.0881056697
1651165200,2022-04-28 17:00:00,BTC/USDT,39916.96,40250.00,39916.96,40221.98,1.28278553,51596.1739319494
1651161600,2022-04-28 16:00:00,BTC/USDT,39558.85,40096.07,39558.85,39909.55,0.18195060,7261.5665682300005
1651158000,2022-04-28 15:00:00,BTC/USDT,39448.27,40250.00,39241.49,39405.49,1.49382171,58864.77645518789
1651154400,2022-04-28 14:00:00,BTC/USDT,39000.00,39369.02,38938.84,39369.02,3.44155100,135490.49015002
1651150800,2022-04-28 13:00:00,BTC/USDT,39367.11,39520.19,39060.78,39113.78,5.11586759,200100.9194243902
1651147200,2022-04-28 12:00:00,BTC/USDT,39712.52,39716.32,39712.52,39716.32,0.46000000,18269.5072
1651143600,2022-04-28 11:00:00,BTC/USDT,39718.29,39718.29,39704.00,39704.00,0.01926089,764.73437656
1651140000,2022-04-28 10:00:00,BTC/USDT,39738.86,39771.38,39738.86,39771.38,0.08000000,3181.7104
1651136400,2022-04-28 09:00:00,BTC/USDT,39725.41,39876.00,39683.54,39817.77,5.38232186,214312.0538874522
1651132800,2022-04-28 08:00:00,BTC/USDT,39441.95,39750.00,39441.95,39653.39,0.64238639,25472.798053362098
1651129200,2022-04-28 07:00:00,BTC/USDT,39490.16,39621.46,39450.63,39544.10,0.51733704,20457.627643464
1651125600,2022-04-28 06:00:00,BTC/USDT,39301.09,39301.09,39301.09,39301.09,0.00000000,0.0
1651122000,2022-04-28 05:00:00,BTC/USDT,39301.09,39301.09,39301.09,39301.09,0.03958890,1555.886921901
1651118400,2022-04-28 04:00:00,BTC/USDT,39352.14,39352.14,39352.14,39352.14,0.02528502,995.0196469427999
1651114800,2022-04-28 03:00:00,BTC/USDT,39410.57,39506.81,39347.16,39356.70,0.11719330,4612.34155011
1651111200,2022-04-28 02:00:00,BTC/USDT,39555.53,39555.53,39555.53,39555.53,0.00000000,0.0
1651107600,2022-04-28 01:00:00,BTC/USDT,39459.06,39591.04,39423.86,39555.53,0.11758690,4651.212150556999
1651104000,2022-04-28 00:00:00,BTC/USDT,39169.57,39169.57,39169.57,39169.57,0.00000000,0.0
1651100400,2022-04-27 23:00:00,BTC/USDT,39169.57,39169.57,39169.57,39169.57,0.29508666,11558.4175849362
1651096800,2022-04-27 22:00:00,BTC/USDT,39209.63,39209.63,39055.84,39114.95,0.23827998,9320.309503700999
1651093200,2022-04-27 21:00:00,BTC/USDT,39117.44,39117.44,39117.44,39117.44,0.00266498,104.2471952512
1651089600,2022-04-27 20:00:00,BTC/USDT,39110.97,39203.54,39110.97,39186.07,0.31047425,12166.2656936975
1651086000,2022-04-27 19:00:00,BTC/USDT,38729.98,38880.38,38723.53,38823.50,4.47676925,173803.850977375
1651082400,2022-04-27 18:00:00,BTC/USDT,39008.67,39023.91,39008.67,39023.91,0.51903548,20254.7938583268
1651078800,2022-04-27 17:00:00,BTC/USDT,39088.79,39125.53,39035.80,39039.75,0.03914519,1528.2184313025002
1651075200,2022-04-27 16:00:00,BTC/USDT,39150.98,39250.00,39072.98,39164.57,0.21460907,8405.0719446499
1651071600,2022-04-27 15:00:00,BTC/USDT,39011.19,39069.88,39011.18,39033.21,1.18705043,46334.388714780296
1651068000,2022-04-27 14:00:00,BTC/USDT,38974.17,38974.17,38478.66,38674.44,4.18993815,162043.511585886
1651064400,2022-04-27 13:00:00,BTC/USDT,38974.37,39391.89,38759.10,39342.90,3.15121684,123978.009014436
1651060800,2022-04-27 12:00:00,BTC/USDT,39096.19,39096.19,38948.83,38970.45,0.25364038,9884.479746771
1651057200,2022-04-27 11:00:00,BTC/USDT,38869.24,38936.57,38702.13,38936.57,3.48563350,135718.612767095
1651053600,2022-04-27 10:00:00,BTC/USDT,39050.52,39050.52,39050.52,39050.52,0.06752157,2636.7524197164
1651050000,2022-04-27 09:00:00,BTC/USDT,39023.35,39023.35,39015.10,39015.10,0.00538217,209.985900767
1651046400,2022-04-27 08:00:00,BTC/USDT,39019.39,39254.51,38737.64,38787.56,2.31478742,89784.9559404952
1651042800,2022-04-27 07:00:00,BTC/USDT,38750.00,39000.00,38619.07,39000.00,2.20298732,85916.50548
1651039200,2022-04-27 06:00:00,BTC/USDT,38441.86,38523.02,38441.86,38523.02,0.04061241,1564.5126826782
1651035600,2022-04-27 05:00:00,BTC/USDT,38500.00,38523.98,38500.00,38523.98,0.00545893,210.2997101414
1651032000,2022-04-27 04:00:00,BTC/USDT,38393.29,38415.71,38393.29,38415.71,0.04520846,1736.7150889066
1651028400,2022-04-27 03:00:00,BTC/USDT,38217.01,38217.01,38217.01,38217.01,0.00000000,0.0
1651024800,2022-04-27 02:00:00,BTC/USDT,38217.01,38217.01,38217.01,38217.01,0.00000000,0.0
1651021200,2022-04-27 01:00:00,BTC/USDT,38217.01,38225.48,38217.01,38217.01,0.39472856,15085.345324805601
1651017600,2022-04-27 00:00:00,BTC/USDT,38187.86,38228.45,38041.41,38176.96,0.52239817,19943.5740401632
1651014000,2022-04-26 23:00:00,BTC/USDT,37770.80,38117.74,37770.80,38104.46,0.18821509,7171.8343683014
1651010400,2022-04-26 22:00:00,BTC/USDT,38270.00,38270.00,38270.00,38270.00,3.00000000,114810.0
1651006800,2022-04-26 21:00:00,BTC/USDT,38223.33,38339.89,38223.33,38265.30,0.78065360,29871.94420008
1651003200,2022-04-26 20:00:00,BTC/USDT,38271.43,38408.34,37750.00,38114.94,3.68516902,140459.9960871588
1650999600,2022-04-26 19:00:00,BTC/USDT,38442.80,38474.61,37955.70,38369.40,0.76197647,29236.579968018003
1650996000,2022-04-26 18:00:00,BTC/USDT,38393.72,38420.11,38353.88,38420.11,0.11360789,4364.8276306679
1650992400,2022-04-26 17:00:00,BTC/USDT,38391.89,38436.83,38100.00,38109.84,0.19857759,7567.760182485599
1650988800,2022-04-26 16:00:00,BTC/USDT,38624.46,38856.45,38500.00,38752.01,0.62187365,24098.8539035365
1650985200,2022-04-26 15:00:00,BTC/USDT,39189.18,39189.59,38722.93,38722.93,1.53385478,59395.3512761054
1650981600,2022-04-26 14:00:00,BTC/USDT,39783.59,39836.42,39250.00,39250.00,3.98927814,156579.166995
1650978000,2022-04-26 13:00:00,BTC/USDT,40258.72,40316.65,39871.00,39871.00,0.18165823,7242.89528833
1650974400,2022-04-26 12:00:00,BTC/USDT,40504.51,40608.83,40345.71,40345.71,0.22187697,8951.7838872987
1650970800,2022-04-26 11:00:00,BTC/USDT,40267.95,40517.68,40267.95,40517.68,0.01996774,809.0464996432
1650967200,2022-04-26 10:00:00,BTC/USDT,40422.40,40422.40,40422.40,40422.40,0.12372286,5001.174936064001
1650963600,2022-04-26 09:00:00,BTC/USDT,40450.45,40458.85,40340.70,40361.34,1.15389502,46572.749226526794
1650960000,2022-04-26 08:00:00,BTC/USDT,40680.24,40698.25,40487.20,40517.97,0.08537177,3459.0908157069002
1650956400,2022-04-26 07:00:00,BTC/USDT,40396.44,40553.37,40396.44,40553.37,0.05708117,2314.8338070429004
1650952800,2022-04-26 06:00:00,BTC/USDT,40483.24,40545.86,40460.80,40499.90,0.17083417,6918.766801583
1650949200,2022-04-26 05:00:00,BTC/USDT,40600.00,40600.00,40600.00,40600.00,0.29928171,12150.837425999998
1650945600,2022-04-26 04:00:00,BTC/USDT,40635.02,40635.02,40635.02,40635.02,0.00000000,0.0
1650942000,2022-04-26 03:00:00,BTC/USDT,40563.32,40635.02,40563.32,40635.02,0.02071387,841.7085217273999
1650938400,2022-04-26 02:00:00,BTC/USDT,40662.10,40662.10,40662.10,40662.10,0.00000000,0.0
1650934800,2022-04-26 01:00:00,BTC/USDT,40662.10,40662.10,40662.10,40662.10,0.00000000,0.0
1650931200,2022-04-26 00:00:00,BTC/USDT,40449.63,40741.26,40449.63,40662.10,0.67744710,27546.421724909997
1650927600,2022-04-25 23:00:00,BTC/USDT,40281.38,40412.14,40281.38,40412.14,0.02483342,1003.5716457187999
1650924000,2022-04-25 22:00:00,BTC/USDT,40223.49,40575.94,40223.49,40348.04,0.95998811,38733.6386618044
1650920400,2022-04-25 21:00:00,BTC/USDT,40149.41,40224.28,40149.41,40224.28,0.00880411,354.1389857908
1650916800,2022-04-25 20:00:00,BTC/USDT,40122.89,40122.89,40122.89,40122.89,0.03701119,1484.9959051391
1650913200,2022-04-25 19:00:00,BTC/USDT,39887.90,40329.60,39887.90,40220.75,0.77472634,31160.074439555
1650909600,2022-04-25 18:00:00,BTC/USDT,39348.17,40250.00,39318.04,39912.10,1.85576055,74067.30064765499
1650906000,2022-04-25 17:00:00,BTC/USDT,39477.30,39477.30,39477.30,39477.30,0.02557221,1009.5218058330001
1650902400,2022-04-25 16:00:00,BTC/USDT,38985.19,39577.71,38983.40,39532.12,1.16703657,46135.429729628406
1650898800,2022-04-25 15:00:00,BTC/USDT,39113.49,39232.87,38962.60,38980.32,0.23015913,8971.676538321599
1650895200,2022-04-25 14:00:00,BTC/USDT,38711.06,39332.11,38657.11,39056.42,3.64506639,142363.2438557238
1650891600,2022-04-25 13:00:00,BTC/USDT,39250.00,39250.00,38737.99,38800.62,1.46173480,56716.216515576
1650888000,2022-04-25 12:00:00,BTC/USDT,38791.29,39000.00,38752.23,38822.78,3.19570210,124066.039573838
1650884400,2022-04-25 11:00:00,BTC/USDT,38413.80,38872.88,38413.80,38800.49,0.66839908,25934.2118195492
1650880800,2022-04-25 10:00:00,BTC/USDT,38483.45,38520.89,38412.11,38412.11,0.60934765,23406.3289600415
1650877200,2022-04-25 09:00:00,BTC/USDT,38395.09,38462.60,38395.09,38431.31,0.93445768,35912.43278196079
1650873600,2022-04-25 08:00:00,BTC/USDT,38480.42,38583.91,38462.67,38532.49,2.17872831,83951.8268177919
1650870000,2022-04-25 07:00:00,BTC/USDT,38504.62,38504.62,38250.00,38342.06,0.89330847,34251.2869552482
1650866400,2022-04-25 06:00:00,BTC/USDT,38910.36,38948.57,38686.16,38686.16,1.31321831,50803.37365558961
1650862800,2022-04-25 05:00:00,BTC/USDT,39133.01,39157.63,39133.01,39157.63,0.01477399,578.5144340437
1650859200,2022-04-25 04:00:00,BTC/USDT,39231.42,39231.42,39231.42,39231.42,0.00000000,0.0
1650855600,2022-04-25 03:00:00,BTC/USDT,39262.83,39262.83,39231.42,39231.42,0.22987524,9018.3320880408
1650852000,2022-04-25 02:00:00,BTC/USDT,38843.31,38843.31,38843.31,38843.31,0.00000000,0.0
1650848400,2022-04-25 01:00:00,BTC/USDT,38843.31,38843.31,38843.31,38843.31,0.00000000,0.0
1650844800,2022-04-25 00:00:00,BTC/USDT,39343.43,39364.42,38691.18,38843.31,0.47277593,18364.1820095283
1650841200,2022-04-24 23:00:00,BTC/USDT,39493.19,39507.91,39493.19,39507.91,0.08849316,3496.1798008956002
1650837600,2022-04-24 22:00:00,BTC/USDT,39682.13,39682.13,39682.13,39682.13,0.00070056,27.7997129928
1650834000,2022-04-24 21:00:00,BTC/USDT,39700.84,39700.84,39700.84,39700.84,0.00000000,0.0
1650830400,2022-04-24 20:00:00,BTC/USDT,39652.58,39700.84,39652.58,39700.84,0.08963463,3558.5701040892
1650826800,2022-04-24 19:00:00,BTC/USDT,39715.51,39762.67,39715.51,39749.19,0.29906385,11887.545795781502
1650823200,2022-04-24 18:00:00,BTC/USDT,39297.76,39297.76,39297.76,39297.76,0.00000000,0.0
1650819600,2022-04-24 17:00:00,BTC/USDT,39443.82,39448.32,39164.68,39297.76,0.09222666,3624.3011502816003
1650816000,2022-04-24 16:00:00,BTC/USDT,39458.67,39726.70,39000.00,39726.70,1.60558910,63784.75649897
1650812400,2022-04-24 15:00:00,BTC/USDT,39629.32,39629.32,39629.32,39629.32,0.00000000,0.0
1650808800,2022-04-24 14:00:00,BTC/USDT,39612.09,39629.32,39612.09,39629.32,0.01332251,527.9620119932
1650805200,2022-04-24 13:00:00,BTC/USDT,39441.07,39482.37,39441.07,39482.37,0.05141835,2030.1183194895002
1650801600,2022-04-24 12:00:00,BTC/USDT,39632.01,39632.01,39632.01,39632.01,0.00000000,0.0
1650798000,2022-04-24 11:00:00,BTC/USDT,39694.41,39694.41,39632.01,39632.01,0.04540101,1799.3332823301
1650794400,2022-04-24 10:00:00,BTC/USDT,39726.09,39726.09,39726.09,39726.09,0.08029697,3189.8846569472994
